n Bubble-Sort STL-sort
1 0.000567 0.001087
11 0.005226 0.005004
21 0.018881 0.010029
31 0.03651 0.014085
41 0.052137 0.019946
51 0.088305 0.026089
61 0.132875 0.031968
71 0.15894 0.036765
81 0.207465 0.041759
91 0.2703 0.047496
101 0.281995 0.056308
111 0.369492 0.060726
121 0.52176 0.067657
131 0.549006 0.07249
141 0.64605 0.080373
151 0.728825 0.085742
161 0.839395 0.09209
171 0.955404 0.098518
181 1.07769 0.106044
191 1.20155 0.113764
201 1.27747 0.119045
211 1.42066 0.124948
221 1.54992 0.130972
231 1.6787 0.13604
241 1.88575 0.146042
251 2.05856 0.15125
261 2.14157 0.153777
271 2.33691 0.162268
281 2.44436 0.175081
291 2.76235 0.175136
301 2.83596 0.187609
311 3.02039 0.200027
321 3.14743 0.202949
331 3.37963 0.206799
341 2.46775 0.147283
351 2.70893 0.1534
361 2.13013 0.118875
371 2.20632 0.137743
381 1.99194 0.123014
391 2.07937 0.130304
401 1.85777 0.091412
411 1.91647 0.095542
421 1.93688 0.084339
431 1.8855 0.086112
441 1.95276 0.088439
451 1.83165 0.08101
461 1.86418 0.08219
471 1.96773 0.084604
481 1.82598 0.075773
491 1.93212 0.078199
501 1.98412 0.082217
511 1.86899 0.076935
521 1.90744 0.076485
531 1.97898 0.078223
541 2.02206 0.081823
551 2.18512 0.082407
561 2.24303 0.084105
571 2.33633 0.084684
581 2.39868 0.088154
591 2.46064 0.091176
601 2.51596 0.091578
611 2.58529 0.092821
621 2.68004 0.095807
631 2.87989 0.096304
641 2.93923 0.096698
651 3.01748 0.101132
661 3.09666 0.101176
671 3.27077 0.103303
681 3.37285 0.103697
691 3.45642 0.106329
701 3.52391 0.109038
711 3.64205 0.108806
721 3.73367 0.111647
731 3.8185 0.112587
741 4.02717 0.11407
751 4.15105 0.118135
761 4.22824 0.118806
771 4.32747 0.119081
781 4.50859 0.124793
791 4.58962 0.125385
801 4.74122 0.126391
811 4.81049 0.12452
821 4.9144 0.130696
831 5.02011 0.130528
841 5.18833 0.137755
851 5.39311 0.134284
861 5.48003 0.136638
871 5.56665 0.136118
881 5.71164 0.13927
891 5.86269 0.141231
901 5.98779 0.142278
911 6.06827 0.14544
921 6.1717 0.14749
931 6.3844 0.148268
941 6.51928 0.148306
951 6.62658 0.153935
961 6.77593 0.153065
971 6.85718 0.154801
981 7.22845 0.158952
991 7.32148 0.161037
1001 7.41885 0.159796
