n, time (v0), L1 (v0), L2 (v0), L3(v0), time (v1), L1 (v1), L2 (v1), L3(v1)
1, 0.006373333333333332, 0.001, 0.007, 0.0003333333333333333, 0.007038666666666666, 0.001, 0.0023333333333333335, 0.0
2, 0.007270333333333333, 0.001, 0.0023333333333333335, 0.0, 0.008341666666666666, 0.001, 0.0026666666666666666, 0.0
3, 0.009791666666666666, 0.001, 0.0023333333333333335, 0.0, 0.011432666666666667, 0.001, 0.0030000000000000005, 0.0006666666666666666
4, 0.011268666666666668, 0.001, 0.0023333333333333335, 0.0, 0.013128666666666665, 0.001, 0.004333333333333334, 0.0
5, 0.011996666666666668, 0.001, 0.002, 0.0, 0.014914000000000002, 0.001, 0.0026666666666666666, 0.0
6, 0.013476, 0.001, 0.002, 0.0, 0.017341333333333334, 0.001, 0.0030000000000000005, 0.0
7, 0.014771333333333332, 0.001, 0.002, 0.0, 0.018740000000000003, 0.001, 0.0026666666666666666, 0.0
8, 0.01646766666666667, 0.001, 0.0033333333333333335, 0.0, 0.021317666666666665, 0.001, 0.0030000000000000005, 0.0
9, 0.017615333333333334, 0.001, 0.0033333333333333335, 0.0, 0.022595000000000004, 0.001, 0.0030000000000000005, 0.0
10, 0.019169000000000002, 0.0016666666666666668, 0.0030000000000000005, 0.0, 0.025071333333333334, 0.002, 0.0033333333333333335, 0.0
11, 0.020693, 0.0030000000000000005, 0.005, 0.0, 0.027679, 0.01, 0.0030000000000000005, 0.0006666666666666666
12, 0.021959999999999997, 0.007333333333333333, 0.004, 0.0, 0.02991066666666667, 0.012666666666666666, 0.006000000000000001, 0.0
13, 0.02456, 0.7503333333333333, 0.015666666666666666, 0.0003333333333333333, 0.03318833333333334, 0.26033333333333336, 0.14233333333333334, 0.0003333333333333333
14, 0.029061666666666666, 20.701333333333334, 1.8466666666666667, 0.0, 0.036769666666666666, 4.724333333333333, 0.2346666666666667, 0.0
15, 0.03408733333333333, 32.71966666666666, 6.621333333333333, 0.0, 0.041238666666666667, 9.780000000000001, 0.7633333333333332, 0.0
16, 0.043082333333333334, 42.218999999999994, 43.49266666666667, 0.0, 0.04712266666666667, 14.693, 7.516666666666667, 0.0
17, 0.061107333333333326, 49.87133333333333, 121.94333333333334, 0.0003333333333333333, 0.05646566666666667, 19.267666666666667, 14.964, 0.0
18, 0.078949, 59.154666666666664, 188.12633333333335, 0.0016666666666666668, 0.066673, 23.464, 26.872, 0.001
19, 0.09520666666666666, 67.68766666666666, 210.59866666666667, 0.04866666666666667, 0.07770833333333332, 27.271666666666665, 39.924, 0.012000000000000002
20, 0.10723266666666668, 72.49, 210.8153333333333, 1.03, 0.09056366666666665, 30.790666666666667, 51.671666666666674, 0.32466666666666666
21, 0.15915933333333335, 80.448, 206.47199999999998, 26.694, 0.11679766666666667, 35.64066666666667, 65.60600000000001, 3.8876666666666666
22, 0.27155900000000005, 87.77533333333332, 217.71266666666668, 96.36933333333333, 0.18193433333333334, 42.309333333333335, 83.43233333333333, 15.457999999999998
23, 0.3500723333333333, 93.83633333333334, 218.28233333333333, 129.83466666666666, 0.21561533333333335, 48.35966666666667, 95.40266666666666, 23.139
24, 0.41125366666666663, 99.52666666666666, 224.9826666666667, 134.548, 0.26491366666666666, 54.315666666666665, 110.827, 34.40133333333333
