n, v0, v1(0),v1(1),v2(2)
1,1.21766666666667,1.178,1.547,1.56033333333333
2,1.347,1.46,1.44933333333333,1.28966666666667
3,1.43866666666667,1.168,1.215,1.137
4,1.13466666666667,1.02,1.19533333333333,1.024
5,1.395,1.17133333333333,1.174,0.849333333333333
6,1.509,1.127,1.12733333333333,0.803
7,1.53266666666667,1.15533333333333,1.153,0.706666666666667
8,1.51066666666667,1.10666666666667,1.11133333333333,0.676
9,1.55133333333333,1.13833333333333,1.108,0.643666666666667
10,1.55133333333333,1.11,1.07766666666667,0.622666666666667
11,1.548,1.08466666666667,1.049,0.607666666666667
12,1.55766666666667,1.074,1.03333333333333,0.603
13,1.52733333333333,1.02433333333333,0.993,0.593333333333333
14,1.35266666666667,0.986666666666667,0.947,0.583333333333333
15,1.21066666666667,0.938,0.900666666666667,0.568
16,1.016,0.867,0.831333333333333,0.544333333333333
17,0.753666666666667,0.752,0.733333333333333,0.531333333333333
18,0.618666666666667,0.663,0.647,0.51
19,0.535333333333333,0.594666666666667,0.583333333333333,0.496333333333333
20,0.492,0.541333333333333,0.528333333333333,0.485
21,0.345333333333333,0.446666666666667,0.415666666666667,0.437
22,0.212666666666667,0.336333333333333,0.294666666666667,0.368666666666667
23,0.169666666666667,0.264,0.216333333333333,0.327333333333333
24,0.146,0.217,0.167,0.302
