n, v0, v1(0)
1, 1.2176666666666667, 1.178
2, 1.3470000000000002, 1.46
3, 1.4386666666666665, 1.1680000000000001
4, 1.1346666666666667, 1.0199999999999998
5, 1.3950000000000002, 1.1713333333333333
6, 1.5090000000000001, 1.127
7, 1.5326666666666666, 1.155333333333333
8, 1.5106666666666666, 1.1066666666666667
9, 1.5513333333333332, 1.1383333333333334
10, 1.5513333333333332, 1.11
11, 1.548, 1.084666666666667
12, 1.5576666666666668, 1.074
13, 1.5273333333333332, 1.024333333333333
14, 1.3526666666666667, 0.9866666666666667
15, 1.2106666666666666, 0.9380000000000001
16, 1.0159999999999998, 0.867
17, 0.7536666666666667, 0.7519999999999999
18, 0.6186666666666666, 0.6629999999999999
19, 0.5353333333333334, 0.5946666666666666
20, 0.492, 0.5413333333333333
21, 0.3453333333333333, 0.4466666666666667
22, 0.21266666666666667, 0.3363333333333334
23, 0.16966666666666666, 0.264
24, 0.146, 0.217
