n, v0, v1
1, 1.6526666666666667, 1.547
2, 1.6653333333333336, 1.4493333333333334
3, 1.4353333333333333, 1.215
4, 1.4299999999999997, 1.1953333333333334
5, 1.5033333333333332, 1.174
6, 1.5066666666666666, 1.1273333333333333
7, 1.5376666666666667, 1.153
8, 1.5146666666666666, 1.1113333333333333
9, 1.5536666666666665, 1.1079999999999999
10, 1.5516666666666667, 1.0776666666666668
11, 1.5483333333333336, 1.0490000000000002
12, 1.5730000000000002, 1.0333333333333334
13, 1.5273333333333332, 0.993
14, 1.3496666666666668, 0.9470000000000001
15, 1.2229999999999999, 0.9006666666666666
16, 1.0196666666666667, 0.8313333333333333
17, 0.726, 0.7333333333333334
18, 0.6189999999999999, 0.647
19, 0.5373333333333333, 0.5833333333333334
20, 0.49, 0.5283333333333333
21, 0.34333333333333327, 0.41566666666666663
22, 0.21833333333333335, 0.29466666666666663
23, 0.17033333333333334, 0.21633333333333335
24, 0.1416666666666667, 0.167
