n, v0, v1
1, 0.008036333333333333, 0.007081
2, 0.007281999999999999, 0.008400333333333334
3, 0.009796666666666667, 0.011429666666666666
4, 0.011257999999999999, 0.013208666666666667
5, 0.012124666666666667, 0.014865999999999999
6, 0.013537666666666665, 0.017495
7, 0.014728999999999999, 0.01869533333333333
8, 0.016453, 0.021213
9, 0.017557000000000003, 0.022559333333333334
10, 0.019182333333333332, 0.025182333333333334
11, 0.020841, 0.027564666666666668
12, 0.022038666666666665, 0.02989
13, 0.024184333333333335, 0.033328666666666666
14, 0.028935666666666665, 0.03676933333333333
15, 0.033710333333333335, 0.041133
16, 0.043704, 0.046852
17, 0.061091666666666676, 0.056227
18, 0.07661666666666667, 0.06676433333333333
19, 0.09527599999999999, 0.07824033333333334
20, 0.10867433333333333, 0.08955799999999998
21, 0.16010266666666664, 0.11358166666666668
22, 0.26543066666666665, 0.16041866666666668
23, 0.34190766666666667, 0.20896699999999999
24, 0.4117746666666666, 0.26497299999999996
25, 0.5172243333333334, 0.340601
