n, v0, v1
1, 0.006302666666666667, 0.0070216666666666665
2, 0.0072503333333333335, 0.008391333333333334
3, 0.009836, 0.011680000000000001
4, 0.011366666666666666, 0.013204333333333332
5, 0.012016, 0.015266666666666666
6, 0.013689666666666668, 0.017357333333333336
7, 0.014740000000000001, 0.018746
8, 0.016481333333333334, 0.02127633333333333
9, 0.017677666666666664, 0.022554333333333332
10, 0.01916033333333333, 0.02509
11, 0.020709333333333333, 0.027641666666666665
12, 0.021921999999999997, 0.02992033333333333
13, 0.024088666666666664, 0.033248
14, 0.028897999999999997, 0.03691666666666667
15, 0.03419966666666666, 0.041541
16, 0.044375, 0.047224666666666665
17, 0.060952000000000006, 0.055866
18, 0.07671933333333332, 0.06725633333333333
19, 0.095302, 0.07854766666666667
20, 0.10853433333333334, 0.09101933333333334
21, 0.162515, 0.11428166666666667
22, 0.26593533333333336, 0.157739
23, 0.34269, 0.20976566666666666
24, 0.417761, 0.26422533333333337
25, 0.5172993333333333, 0.3301933333333333
