n, v0,binsearch1 (no prefetch), binsearch1 (locatity = 0),binsearch1 (locality = 3)
1,0.009276333333333,0.007081,0.011355666666667,0.007503666666667
2,0.012235333333333,0.008400333333333,0.013303333333333,0.008472666666667
3,0.014902333333333,0.011429666666667,0.015656,0.011539
4,0.015896666666667,0.013208666666667,0.014055,0.013323
5,0.012720666666667,0.014866,0.015409333333333,0.014555666666667
6,0.014307,0.017495,0.018064666666667,0.017166
7,0.015681666666667,0.018695333333333,0.019804,0.019262666666667
8,0.017245666666667,0.021213,0.022626333333333,0.021587
9,0.018779666666667,0.022559333333333,0.024175333333333,0.023337
10,0.020102333333333,0.025182333333333,0.027000333333333,0.02593
11,0.021792,0.027564666666667,0.029339333333333,0.028624
12,0.022843333333333,0.02989,0.031955333333333,0.031470666666667
13,0.025069333333333,0.033328666666667,0.034948,0.034521
14,0.030166666666667,0.036769333333333,0.037921333333333,0.037551
15,0.035497333333333,0.041133,0.041533666666667,0.040900666666667
16,0.04422,0.046852,0.045049666666667,0.045134
17,0.062367333333333,0.056227,0.051602666666667,0.050606333333333
18,0.079501666666667,0.066764333333333,0.057878666666667,0.056552666666667
19,0.096726,0.078240333333333,0.064903666666667,0.062073666666667
20,0.112414,0.089558,0.076241666666667,0.068761
21,0.164951,0.113581666666667,0.095622,0.085934
22,0.270114,0.160418666666667,0.123717,0.115042666666667
23,0.345563333333333,0.208967,0.153538,0.145975333333333
24,0.414809333333333,0.264973,0.187629,0.181892
25,0.509332,0.340601,0.224659666666667,0.218638666666667
