n, v0,binsearch1 (bez prefetchingu),Wariant 1,Wariant 2,Wariant 3
1,0.009092333333333,0.009341,0.011386333333333,0.010073666666667,0.012503
2,0.010378333333333,0.010938,0.013158666666667,0.011463666666667,0.014456
3,0.013003333333333,0.014179,0.016096,0.013769333333333,0.017975333333333
4,0.014234333333333,0.016079333333333,0.018092,0.013469666666667,0.020384
5,0.016229333333333,0.017450333333333,0.020476,0.015250666666667,0.022658
6,0.015321666666667,0.017521333333333,0.023923333333333,0.017629,0.019039666666667
7,0.014938666666667,0.018901,0.025936,0.019560333333333,0.021408
8,0.016719333333333,0.021468666666667,0.025226666666667,0.022430666666667,0.024674
9,0.017864333333333,0.022832666666667,0.025371333333333,0.024576333333333,0.027110666666667
10,0.019295666666667,0.025404333333333,0.029517,0.029458333333333,0.032816
11,0.020820666666667,0.027794333333333,0.03096,0.032725333333333,0.039138666666667
12,0.022057666666667,0.029975666666667,0.033566333333333,0.035366666666667,0.043599
13,0.024120333333333,0.033239666666667,0.036596333333333,0.038286666666667,0.047723333333333
14,0.029077333333333,0.036617333333333,0.039693666666667,0.041425,0.051090333333333
15,0.034301666666667,0.041235,0.042726666666667,0.044409333333333,0.054305333333333
16,0.043228,0.046403,0.047203,0.04828,0.058677333333333
17,0.060476,0.056659,0.053769333333333,0.053443666666667,0.063608666666667
18,0.077294666666667,0.066565333333333,0.061211333333333,0.059358333333333,0.071395666666667
19,0.094986333333333,0.078294666666667,0.069519,0.066408,0.078061666666667
20,0.109065666666667,0.091073,0.076940666666667,0.074305666666667,0.087125666666667
21,0.166096,0.115031666666667,0.097516,0.096840333333333,0.106592666666667
22,0.263983333333333,0.157638666666667,0.137561,0.129070333333333,0.139300666666667
23,0.341992333333333,0.209629333333333,0.183761666666667,0.164897,0.174745
24,0.414208666666667,0.265352666666667,0.233219,0.201527666666667,0.21304
25,0.486789666666667,0.329893333333333,0.284926333333333,0.237613,0.250331333333333
