n, time (v0), L1 (v0), L2 (v0), L3(v0), time (v1), L1 (v1), L2 (v1), L3(v1)
1, 0.038148, 0.137, 0.506, 0.007, 0.017588, 0.123, 0.304, 0.003
2, 0.035522, 0.122, 0.404, 0.015, 0.016904, 0.068, 0.137, 0.002
3, 0.035668, 0.109, 0.296, 0.007, 0.017501, 0.19, 0.126, 0.002
4, 0.035497, 0.13, 0.357, 0.01, 0.017481, 0.122, 0.217, 0.018
5, 0.035473, 0.163, 0.36, 0.011, 0.016899, 0.105, 0.257, 0.013
6, 0.035359, 0.234, 0.478, 0.002, 0.017642, 0.225, 1.043, 0.01
7, 0.035143, 0.638, 0.642, 0.03, 0.016876, 0.506, 0.942, 0.009
8, 0.035279, 1.909, 1.138, 0.016, 0.017749, 2.932, 0.647, 0.007
9, 0.036592, 3.545, 2.757, 0.106, 0.01785, 4.741, 2.18, 0.037
10, 0.03755, 4.192, 4.346, 0.113, 0.017652, 6.106, 3.546, 0.638
11, 0.036066, 6.088, 7.882, 0.385, 0.017836, 8.477, 7.598, 0.145
12, 0.035743, 7.659, 15.652, 0.826, 0.017532, 10.651, 22.234, 0.758
13, 0.03524, 5.794, 13.026, 0.776, 0.017438, 7.965, 16.708, 0.798
14, 0.036121, 6.728, 13.115, 0.945, 0.017492, 8.109, 18.535, 0.959
15, 0.035489, 5.019, 17.682, 3.398, 0.018164, 7.357, 25.045, 0.904
