n,1-2-3-4,1-2-4-3,1-3-2-4,1-3-4-2,1-4-2-3,1-4-3-2,2-1-3-4,2-1-4-3,2-3-1-4,2-3-4-1,2-4-1-3,2-4-3-1,3-1-2-4,3-1-4-2,3-2-1-4,3-2-4-1,3-4-1-2,3-4-2-1,4-1-2-3,4-1-3-2,4-2-1-3,4-2-3-1,4-3-2-1,4-3-2-1,max(n),min(n),median(n)
1,3.37666666666667,3.30866666666667,3.23533333333333,1.945,3.38,2.371,3.51466666666667,3.65466666666667,2.37733333333333,3.209,2.31833333333333,2.54866666666667,2.45366666666667,3.23666666666667,3.37166666666667,2.52366666666667,2.60133333333333,3.32766666666667,2.879,2.26333333333333,3.50633333333333,2.18733333333333,2.69166666666667,2.29333333333333,3.65466666666667,1.945,2.78533333333333
2,3.33966666666667,3.18566666666667,3.14033333333333,1.84966666666667,3.38733333333333,2.47733333333333,3.52533333333333,3.33533333333333,2.34833333333333,2.69333333333333,1.984,3.33033333333333,2.306,3.27366666666667,3.41066666666667,2.939,3.27866666666667,2.27,3.408,2.34733333333333,2.898,2.18933333333333,3.18033333333333,2.13833333333333,3.52533333333333,1.84966666666667,3.03966666666667
3,3.455,2.777,2.73733333333333,1.85266666666667,3.362,3.205,3.40266666666667,3.54,2.349,2.57033333333333,2.05033333333333,3.516,2.89833333333333,3.293,3.52333333333333,3.46733333333333,3.28033333333333,2.88333333333333,3.43533333333333,2.651,3.06466666666667,2.183,3.46633333333333,3.006,3.54,1.85266666666667,3.13483333333333
4,3.37933333333333,3.03933333333333,2.71066666666667,1.91466666666667,3.285,3.25633333333333,3.561,3.35433333333333,2.34933333333333,2.495,2.043,3.58366666666667,3.11066666666667,3.30033333333333,3.31966666666667,3.28666666666667,3.31366666666667,2.351,3.287,2.834,3.17733333333333,2.17766666666667,3.41,3.472,3.58366666666667,1.91466666666667,3.27066666666667
5,3.47933333333333,3.25933333333333,2.43433333333333,1.94333333333333,3.42266666666667,3.27,3.48433333333333,3.40366666666667,2.37333333333333,2.97733333333333,2.26366666666667,3.34633333333333,3.269,3.414,3.475,3.52866666666667,3.374,2.91266666666667,3.33033333333333,2.78166666666667,2.738,2.156,3.53133333333333,3.53333333333333,3.53333333333333,1.94333333333333,3.30016666666667
6,3.39066666666667,3.379,3.38133333333333,1.96466666666667,3.356,3.24866666666667,3.396,3.42833333333333,2.399,3.511,2.36833333333333,3.34833333333333,3.355,3.14733333333333,3.55433333333333,3.52,3.37966666666667,3.49166666666667,3.367,2.83533333333333,3.39066666666667,2.173,3.37733333333333,3.52833333333333,3.55433333333333,1.96466666666667,3.37816666666667
7,3.37966666666667,3.44666666666667,3.27566666666667,1.94,3.40933333333333,3.264,3.54833333333333,3.28666666666667,2.379,3.333,2.34,3.48033333333333,3.408,3.39033333333333,3.526,3.42866666666667,3.19033333333333,3.333,3.34866666666667,2.83133333333333,3.50166666666667,2.18333333333333,3.312,3.481,3.54833333333333,1.94,3.34083333333333
8,3.35166666666667,3.40466666666667,3.45133333333333,1.948,3.36266666666667,3.311,3.57566666666667,3.52233333333333,2.38633333333333,3.43066666666667,2.327,3.53133333333333,3.329,3.33366666666667,3.38066666666667,3.42,3.30333333333333,3.43,3.39166666666667,2.795,3.168,2.16666666666667,3.35866666666667,3.62833333333333,3.62833333333333,1.948,3.36066666666667
9,3.50033333333333,3.46566666666667,3.30633333333333,1.93366666666667,3.39933333333333,3.281,3.43133333333333,3.38733333333333,2.366,3.31333333333333,2.33133333333333,3.44766666666667,3.226,3.229,3.224,3.389,3.344,3.42566666666667,3.48266666666667,2.81366666666667,3.44,2.145,3.42766666666667,3.31533333333333,3.50033333333333,1.93366666666667,3.32966666666667
10,3.385,3.30333333333333,3.45233333333333,1.92433333333333,3.42733333333333,3.36233333333333,3.18666666666667,3.51933333333333,2.286,3.36833333333333,2.30433333333333,3.404,3.232,3.258,3.387,3.52466666666667,3.34833333333333,3.40666666666667,3.484,2.81633333333333,3.49633333333333,2.117,3.441,3.32366666666667,3.52466666666667,1.92433333333333,3.36533333333333
11,3.41533333333333,3.459,3.34533333333333,1.89433333333333,3.338,3.217,3.45466666666667,3.41866666666667,2.29,3.46966666666667,2.259,3.33833333333333,3.19166666666667,3.316,3.44166666666667,3.19733333333333,3.30933333333333,3.42,3.32133333333333,2.731,3.40433333333333,2.11166666666667,3.218,3.42566666666667,3.46966666666667,1.89433333333333,3.32966666666667
12,3.33233333333333,3.34966666666667,3.25466666666667,1.83966666666667,3.34533333333333,3.209,3.49266666666667,3.375,2.21166666666667,3.196,2.20633333333333,3.31866666666667,3.159,3.31066666666667,3.48633333333333,3.25666666666667,3.317,3.42233333333333,3.33766666666667,2.59333333333333,3.20966666666667,2.061,3.28766666666667,3.41266666666667,3.49266666666667,1.83966666666667,3.29916666666667
13,3.22,3.31466666666667,3.29966666666667,1.808,3.20233333333333,3.20033333333333,3.43333333333333,3.466,2.16166666666667,3.241,2.154,3.36033333333333,3.149,3.19966666666667,3.38533333333333,3.20666666666667,3.24633333333333,3.234,3.282,2.593,3.41766666666667,1.97233333333333,3.32,3.12833333333333,3.466,1.808,3.227
14,3.12233333333333,3.224,3.07033333333333,1.76933333333333,3.21733333333333,3.09233333333333,3.23966666666667,3.362,2.038,3.10766666666667,2.103,3.2,3.148,3.08766666666667,3.31933333333333,3.04466666666667,3.17066666666667,3.21,3.20733333333333,2.46466666666667,3.234,1.99966666666667,3.157,3.09833333333333,3.362,1.76933333333333,3.13516666666667
15,3.08733333333333,3.12333333333333,2.977,1.691,3.11866666666667,2.92066666666667,3.14833333333333,3.293,2.02366666666667,3.048,2.02366666666667,3.14966666666667,3.01933333333333,3.028,3.21433333333333,3.13366666666667,3.11733333333333,3.11733333333333,3.10933333333333,2.345,3.186,1.961,3.22766666666667,3.17466666666667,3.293,1.691,3.11333333333333
