n, v0, v1
1, 0.771, 3.4244
2, 0.7679, 3.5337000000000005
3, 0.7718, 3.5633000000000004
4, 0.7746999999999999, 3.5409999999999995
5, 0.7733, 3.5798
6, 0.7717, 3.4628
7, 0.7639000000000001, 3.3966000000000003
8, 0.7653000000000001, 3.4761
9, 0.7695000000000001, 3.5446000000000004
10, 0.7646000000000001, 3.5317999999999996
11, 0.7604, 3.3903000000000008
12, 0.7704000000000001, 3.4467999999999996
13, 0.773, 3.372
14, 0.7710999999999999, 3.3043
15, 0.7687999999999999, 3.1869000000000005
