n, v0, s6,s9, s12
1,0.005819666666667,0.005367,0.006782333333333,0.017208333333333
2,0.005767666666667,0.005609333333333,0.006873666666667,0.017736
3,0.005831666666667,0.005368333333333,0.006687,0.018875
4,0.005744666666667,0.005407333333333,0.006826333333333,0.017776666666667
5,0.005488333333333,0.005133333333333,0.006907333333333,0.018082333333333
6,0.005504666666667,0.005307333333333,0.006831,0.017563
7,0.005517333333333,0.005462333333333,0.006836,0.017468
8,0.005437333333333,0.005124666666667,0.007573333333333,0.018351666666667
9,0.005637,0.005382333333333,0.007095,0.017808
10,0.005725333333333,0.004941,0.007053666666667,0.018042
11,0.005392333333333,0.005265333333333,0.008082666666667,0.018945333333333
12,0.005267,0.004897666666667,0.006886666666667,0.020571
13,0.005612333333333,0.004927,0.006592,0.018045666666667
14,0.005328333333333,0.005135,0.006412666666667,0.018676666666667
15,0.005371666666667,0.004988666666667,0.006851333333333,0.018564
