n, v0, v1, v2, v3
48, 1.8640142659931576, 2.092278305271726, 2.36845050824638, 1.8540948757827111
64, 2.375643142801247, 2.0529118048104436, 3.1038636655591705, 1.8469542047614662
80, 2.390835618302076, 2.3112151990935574, 2.6596448388913108, 1.83564776365064
96, 2.3861828286705182, 2.2383809621590767, 3.8025943143868153, 1.8512270578141075
112, 2.3321068277807413, 2.2429987990456848, 2.644604423654884, 1.8408668895229527
128, 3.0611112359790513, 2.2698892071642685, 10.800957396591079, 1.8837452525983753
144, 2.288745845081537, 2.360539782758979, 3.4124123623072635, 1.8448439775029128
160, 2.95159858592119, 2.560360829409634, 6.82874793518388, 3.2465864132612183
176, 3.9611707435704226, 4.0152540184623655, 6.07402094427608, 3.220419846734687
192, 4.749336221758743, 4.005430044109325, 7.42850474465885, 3.1866350489234025
208, 4.215822922365879, 4.0074533328433075, 5.711176406280582, 3.2313536764872084
224, 4.8716430962892145, 3.600259061327533, 7.266268784097815, 3.2646718320374704
240, 2.7642100819311857, 2.2568885111188224, 4.522824850595535, 1.8874219648608233
256, 5.541376341617924, 2.2837612222295482, 17.364735452318833, 1.8921191932849244
272, 3.021694064879384, 2.254426562391341, 4.688569711138335, 1.8583282801449414
288, 3.288919942225529, 2.250099916190368, 5.9642382997444985, 1.8443396243535304
304, 3.2410263368247776, 2.2252655634845753, 5.491846471570499, 1.8483759862229914
320, 3.5527527471985483, 2.219775906794829, 7.920766979220873, 1.8674574395313845
336, 3.2514129642192633, 2.3081141706396693, 5.47956355711058, 1.8465749546223285
352, 3.3434673611865633, 2.2131973350076626, 6.2047864188438995, 1.8492703576164093
368, 3.23662418480011, 2.1872938386707608, 5.4545168654908185, 1.8524254062102485
384, 4.670230949498549, 2.2179586623787593, 13.894332005427433, 1.8674511126130622
400, 3.250484497860777, 2.1995492615414713, 5.5297367192284135, 1.8637846272387146
416, 3.357136218181338, 2.1909877032654275, 6.500289162466329, 1.8610439986766734
432, 3.278349730851383, 2.184550405200362, 5.528370547454752, 1.8633253502334886
448, 3.82811509301777, 2.217361445870259, 8.39705446338854, 1.8546810569160186
464, 3.289808839558122, 2.196981883612964, 5.483539753650917, 1.8725092630745934
480, 3.4325265396530837, 2.1953603936560038, 6.735105593182093, 1.8679043030469382
496, 3.28140557082576, 2.1666818813217072, 5.546547200297186, 1.864236503797262
512, 5.727172201745468, 2.3021378771203462, 17.48735389794952, 2.137524180101691
528, 3.288459104602592, 2.204353934322297, 5.635703575276477, 1.858761506129171
544, 3.497880350386246, 2.2020867423089165, 6.934735621126234, 1.8771326394839614
560, 3.314290212683111, 2.172600732991167, 5.677444237424247, 1.8725051683000657
576, 4.148415933693556, 2.2017332676140384, 9.328709630869742, 1.8766678069189913
592, 3.318488107009804, 2.166237029607447, 5.749074175915389, 1.8711204984466143
608, 3.555274703611336, 2.183608458700011, 7.4914972417325165, 1.9281084469258358
624, 3.5123360076297594, 2.2019618402905605, 5.933720507472151, 1.86789905198438
640, 5.001572177313263, 2.2687392409010454, 13.939372031729224, 1.874813352850324
656, 3.3413264595536742, 2.175748878965204, 5.960551724190468, 1.8725023566107364
672, 3.6055424086890815, 2.193993078141344, 7.787459670593992, 1.8692766958628755
688, 3.3795780651600857, 2.195933712601631, 16.277008286338916, 1.9145007585645129
704, 4.975631269285667, 2.4573183743764577, 10.583409548132925, 1.870656880803297
720, 3.4338189430711914, 2.2341706618928727, 7.0719098567067435, 1.8678967900344976
736, 3.767432534742956, 2.3228354226776724, 10.708221153690262, 1.9241983190908793
