offset, n, v0, v1, v2, v3 
reverse, 16, 0.000012, 0.000011, 0.000012, 0.000012 
reverse, 32, 0.000025, 0.000027, 0.000027, 0.000029 
reverse, 64, 0.000136, 0.000149, 0.000149, 0.000160 
reverse, 128, 0.001676, 0.001225, 0.001216, 0.001238 
reverse, 256, 0.023125, 0.009900, 0.009834, 0.009794 
reverse, 512, 0.195025, 0.087110, 0.087636, 0.082957 
reverse, 1024, 2.237109, 0.775174, 0.771333, 0.648997 
reverse, 2048, 64.171240, 6.666711, 6.566299, 6.435499 
zeroes, 16, 0.000018, 0.000019, 0.000018, 0.000017
zeroes, 32, 0.000047, 0.000047, 0.000044, 0.000042
zeroes, 64, 0.000277, 0.000272, 0.000272, 0.000210
zeroes, 128, 0.002407, 0.002115, 0.002195, 0.001791
zeroes, 256, 0.032721, 0.015620, 0.010392, 0.010822
zeroes, 512, 0.224362, 0.079074, 0.079991, 0.077164
zeroes, 1024, 4.987045, 0.845212, 0.760678, 0.709163
zeroes, 2048, 67.082604, 6.490261, 6.682137, 6.809293
