n, B(1), B(2), B(4), B(8), B(16), B(32), B(64), B(128)
128, 72.257, 22.807, 12.62, 9.267, 6.466, 6.768, 10.037, 70.348
256, 66.052, 31.957, 12.626, 9.139, 6.532, 8.844, 55.692, 66.31
384, 70.388, 22.663, 12.538, 9.142, 6.397, 6.751, 10.334, 69.812
512, 54.297, 34.841, 13.391, 9.373, 8.786, 53.537, 55.173, 57.241
640, 72.419, 22.662, 12.546, 9.145, 6.448, 6.685, 10.037, 63.252
768, 62.107, 27.868, 12.611, 9.068, 6.475, 8.837, 55.382, 66.754
896, 72.063, 22.636, 12.538, 9.031, 6.419, 6.614, 10.01, 62.926
1024, 53.729, 31.566, 19.265, 23.536, 48.845, 56.866, 55.912, 55.035
1152, 70.392, 22.659, 12.567, 9.095, 6.412, 6.592, 10.016, 62.58
1280, 62.481, 27.67, 12.71, 9.166, 6.587, 8.89, 55.013, 66.832
1408, 70.845, 22.958, 12.939, 9.397, 6.604, 6.698, 10.083, 54.997
1536, 56.881, 33.616, 14.92, 10.153, 9.373, 53.451, 55.739, 57.673
1664, 71.111, 26.007, 14.588, 10.099, 6.669, 6.813, 10.243, 62.332
1792, 74.874, 29.211, 14.788, 10.271, 7.066, 9.437, 54.341, 66.691
1920, 63.703, 27.24, 14.893, 10.336, 7.01, 6.861, 10.256, 61.312
2048, 68.771, 34.275, 15.563, 11.774, 42.218, 56.649, 55.932, 55.199
2176, 66.562, 27.856, 15.204, 10.585, 7.114, 6.899, 10.311, 61.274
2304, 72.558, 30.125, 15.4, 10.627, 7.264, 9.302, 54.361, 65.998
2432, 68.132, 28.477, 15.518, 10.666, 7.186, 6.965, 10.345, 61.354
2560, 78.594, 38.408, 16.006, 10.937, 9.288, 53.683, 55.805, 57.581
2688, 69.671, 29.109, 15.825, 10.903, 7.271, 7.015, 10.422, 61.545
2816, 73.308, 31.191, 16.016, 10.969, 7.459, 9.454, 54.353, 66.041
2944, 71.255, 29.738, 16.141, 11.021, 7.364, 7.053, 10.406, 61.759
3072, 75.303, 35.463, 16.527, 12.128, 44.43, 57.278, 56.237, 55.378
3200, 72.822, 30.375, 16.459, 11.186, 7.454, 7.098, 10.487, 61.539
3328, 75.326, 31.998, 16.645, 11.29, 7.606, 9.564, 54.415, 66.027
3456, 74.403, 30.994, 16.761, 11.365, 7.565, 7.166, 10.502, 61.391
3584, 83.448, 38.477, 17.084, 11.569, 9.672, 53.87, 55.856, 57.614
3712, 75.982, 31.624, 17.078, 11.582, 7.658, 7.206, 10.59, 61.242
3840, 78.205, 32.866, 17.27, 11.637, 7.818, 9.676, 55.937, 66.662
3968, 77.561, 32.265, 17.4, 11.7, 7.74, 7.24, 10.62, 61.401
4096, 78.814, 35.059, 17.622, 12.618, 41.784, 55.128, 54.466, 55.234
4224, 79.14, 32.909, 17.719, 11.879, 7.833, 7.293, 10.677, 61.456
4352, 81.074, 33.85, 17.913, 12.013, 8.013, 9.815, 54.494, 66.746
4480, 80.691, 33.511, 18.026, 12.055, 7.944, 7.35, 10.701, 61.518
4608, 88.07, 39.594, 18.283, 12.205, 10.05, 54.021, 55.891, 57.684
4736, 82.342, 34.165, 18.356, 12.254, 8.036, 7.398, 10.75, 61.543
4864, 84.141, 34.966, 18.538, 12.34, 8.185, 9.958, 54.713, 67.074
4992, 83.892, 34.799, 18.672, 12.421, 8.115, 7.437, 10.811, 61.382
5120, 88.677, 41.06, 18.935, 13.514, 45.925, 57.685, 56.284, 55.5
5248, 85.481, 35.426, 18.982, 12.603, 8.2, 7.485, 10.837, 59.012
5376, 87.155, 36.036, 19.16, 12.709, 8.338, 10.085, 54.583, 67.256
5504, 86.856, 35.984, 19.277, 12.736, 8.126, 7.533, 10.89, 61.154
5632, 89.919, 40.337, 19.489, 12.873, 10.322, 54.189, 55.894, 57.587
5760, 88.613, 36.687, 19.613, 12.956, 8.4, 7.59, 11.009, 61.316
5888, 90.328, 37.162, 19.78, 13.005, 8.565, 10.164, 54.668, 67.503
6016, 90.181, 37.314, 19.928, 13.104, 8.473, 7.628, 10.979, 61.221
6144, 94.807, 43.879, 20.16, 14.172, 43.632, 57.413, 56.882, 55.502
6272, 91.699, 37.92, 20.229, 13.255, 8.567, 7.678, 11.013, 61.225
6400, 93.456, 38.359, 20.408, 13.351, 8.742, 10.314, 54.705, 67.69
6528, 93.32, 38.565, 20.552, 13.473, 8.649, 7.719, 11.092, 61.156
6656, 94.99, 41.863, 20.731, 13.574, 10.741, 54.158, 55.988, 56.836
6784, 94.885, 39.192, 20.869, 13.624, 8.763, 7.782, 11.103, 61.152
6912, 96.719, 39.594, 21.034, 13.719, 8.937, 10.416, 54.785, 67.7
7040, 96.447, 39.823, 21.182, 13.843, 8.845, 7.807, 11.222, 61.168
7168, 98.259, 46.409, 21.425, 15.008, 46.57, 58.091, 56.362, 55.796
7296, 98.031, 40.45, 21.497, 14.019, 8.935, 7.874, 11.28, 61.256
7424, 99.9, 40.816, 21.656, 14.067, 9.125, 10.554, 54.82, 67.829
7552, 99.554, 41.054, 21.803, 14.165, 9.037, 7.932, 11.268, 61.319
7680, 101.363, 43.866, 21.983, 14.261, 11.11, 54.284, 56.093, 56.347
7808, 101.168, 41.697, 22.125, 14.4, 9.125, 7.975, 11.251, 60.87
7936, 103.071, 42.059, 22.284, 14.367, 9.31, 10.668, 54.867, 67.839
8064, 102.718, 42.331, 22.441, 14.533, 9.161, 8.015, 11.277, 61.199
8192, 103.396, 42.659, 22.623, 14.995, 36.492, 53.927, 54.361, 53.96
