n, B(1), B(2), B(4), B(8), B(16), B(32), B(64), B(128)
128, 0.000112, 3e-05, 2.9e-05, 3.3e-05, 2.6e-05, 1.9e-05, 3.2e-05, 4.2e-05
256, 0.000487, 0.000154, 6.9e-05, 9.7e-05, 4.5e-05, 9.3e-05, 0.000242, 0.000166
384, 0.000914, 0.00024, 0.000175, 0.000202, 8.9e-05, 8.9e-05, 0.000176, 0.000302
512, 0.001439, 0.000876, 0.000335, 0.000346, 0.000313, 0.000831, 0.000748, 0.000784
640, 0.001217, 0.00065, 0.000384, 0.00052, 0.000351, 0.000351, 0.000391, 0.000787
768, 0.001778, 0.001313, 0.000872, 0.000592, 0.000542, 0.000628, 0.001465, 0.001546
896, 0.002805, 0.001647, 0.000774, 0.00065, 0.00058, 0.000959, 0.000736, 0.00166
1024, 0.003628, 0.004476, 0.001909, 0.002312, 0.003416, 0.002707, 0.003025, 0.003423
1152, 0.004081, 0.002389, 0.001432, 0.001117, 0.000912, 0.000928, 0.001441, 0.002794
1280, 0.005103, 0.004238, 0.002479, 0.001486, 0.00154, 0.001645, 0.004252, 0.004349
1408, 0.006509, 0.003724, 0.002587, 0.002351, 0.001976, 0.002189, 0.003067, 0.004249
1536, 0.007954, 0.008513, 0.003713, 0.002832, 0.002475, 0.006229, 0.006661, 0.006826
1664, 0.009754, 0.005915, 0.003752, 0.002986, 0.00246, 0.002431, 0.004194, 0.006167
1792, 0.012419, 0.008185, 0.004876, 0.003883, 0.003028, 0.003296, 0.009993, 0.008563
1920, 0.01399, 0.007844, 0.006005, 0.004977, 0.00374, 0.004139, 0.005006, 0.008002
2048, 0.031141, 0.020883, 0.013254, 0.006533, 0.013197, 0.013754, 0.013345, 0.015092
2176, 0.019185, 0.010866, 0.007134, 0.005507, 0.004561, 0.00616, 0.007408, 0.01239
2304, 0.02239, 0.014281, 0.009013, 0.007806, 0.005889, 0.005689, 0.013918, 0.01636
2432, 0.024591, 0.013928, 0.009078, 0.007106, 0.005787, 0.005888, 0.00803, 0.013473
2560, 0.030686, 0.026722, 0.014364, 0.009012, 0.007574, 0.016784, 0.017369, 0.019383
2688, 0.030814, 0.017446, 0.011525, 0.008873, 0.007224, 0.008159, 0.008956, 0.016607
2816, 0.035093, 0.022456, 0.014662, 0.010337, 0.008227, 0.00871, 0.021144, 0.022434
2944, 0.037219, 0.020816, 0.014094, 0.011169, 0.008611, 0.008833, 0.010874, 0.020192
3072, 0.106158, 0.059467, 0.031819, 0.01824, 0.030385, 0.026084, 0.028241, 0.032508
3200, 0.045622, 0.024361, 0.016914, 0.013001, 0.010425, 0.010581, 0.018258, 0.023114
3328, 0.04984, 0.030427, 0.021344, 0.015279, 0.011762, 0.012366, 0.03112, 0.030502
3456, 0.051269, 0.028859, 0.020501, 0.015446, 0.012637, 0.012948, 0.015857, 0.026248
3584, 0.091474, 0.061428, 0.03422, 0.020357, 0.014969, 0.033954, 0.034572, 0.037182
3712, 0.060727, 0.03455, 0.024142, 0.018008, 0.013904, 0.014349, 0.017149, 0.030549
3840, 0.067085, 0.042667, 0.030305, 0.02053, 0.015202, 0.016836, 0.039263, 0.038674
3968, 0.07544, 0.044014, 0.028236, 0.021047, 0.016091, 0.01648, 0.019709, 0.035036
4096, 0.199651, 0.122815, 0.05977, 0.03099, 0.050583, 0.047141, 0.049732, 0.056176
4224, 0.085534, 0.046645, 0.031405, 0.023967, 0.018581, 0.018782, 0.022282, 0.0386
4352, 0.099056, 0.058474, 0.040946, 0.028253, 0.019689, 0.02178, 0.055106, 0.050969
4480, 0.094204, 0.054293, 0.036704, 0.028864, 0.021426, 0.021964, 0.025759, 0.043301
4608, 0.179674, 0.111326, 0.066527, 0.035045, 0.02509, 0.057655, 0.061619, 0.060019
4736, 0.11524, 0.060234, 0.04092, 0.031715, 0.023274, 0.02364, 0.029787, 0.047925
4864, 0.147316, 0.104711, 0.052974, 0.036115, 0.02549, 0.027659, 0.067739, 0.061126
4992, 0.132882, 0.078278, 0.045698, 0.034718, 0.02707, 0.026148, 0.032124, 0.05373
5120, 0.345356, 0.181384, 0.095835, 0.053928, 0.07808, 0.072494, 0.076729, 0.085371
5248, 0.148746, 0.082153, 0.053029, 0.039914, 0.029998, 0.030334, 0.039062, 0.060318
5376, 0.206278, 0.120119, 0.07034, 0.045325, 0.032786, 0.032935, 0.076944, 0.076091
5504, 0.167808, 0.087685, 0.058372, 0.043695, 0.034031, 0.033475, 0.038494, 0.065524
5632, 0.358564, 0.188652, 0.105151, 0.055078, 0.036252, 0.085719, 0.082457, 0.089354
5760, 0.182449, 0.115628, 0.064503, 0.047527, 0.03555, 0.035417, 0.049758, 0.071749
5888, 0.258121, 0.180294, 0.090022, 0.053739, 0.038372, 0.040456, 0.093546, 0.091049
6016, 0.217481, 0.124917, 0.070356, 0.054823, 0.039196, 0.039496, 0.058329, 0.078737
6144, 0.545909, 0.28527, 0.135141, 0.075392, 0.113603, 0.118378, 0.122371, 0.129214
6272, 0.263166, 0.125132, 0.078483, 0.058921, 0.042874, 0.042737, 0.05015, 0.083595
6400, 0.377216, 0.189765, 0.10753, 0.066421, 0.045426, 0.049412, 0.117054, 0.108663
6528, 0.261933, 0.135765, 0.086342, 0.063673, 0.046606, 0.045831, 0.054078, 0.093261
6656, 0.550933, 0.294704, 0.153273, 0.081203, 0.05217, 0.1196, 0.114803, 0.125278
6784, 0.292991, 0.150373, 0.095703, 0.0686, 0.050003, 0.064712, 0.058651, 0.098395
6912, 0.411761, 0.219598, 0.127244, 0.080448, 0.053917, 0.056875, 0.127273, 0.123717
7040, 0.348229, 0.194907, 0.104447, 0.076732, 0.055629, 0.055765, 0.0635, 0.106916
7168, 0.709447, 0.358219, 0.186911, 0.10046, 0.151852, 0.143714, 0.155383, 0.176938
7296, 0.340809, 0.192054, 0.113244, 0.080775, 0.059275, 0.057834, 0.078348, 0.114684
7424, 0.542033, 0.263376, 0.152238, 0.092662, 0.061632, 0.073284, 0.162905, 0.152312
7552, 0.436654, 0.200726, 0.122291, 0.088752, 0.078682, 0.070342, 0.084441, 0.128158
7680, 0.760252, 0.384175, 0.208435, 0.110402, 0.083805, 0.174329, 0.156496, 0.175247
7808, 0.426807, 0.218157, 0.13536, 0.095952, 0.081499, 0.066571, 0.078293, 0.133838
7936, 0.584892, 0.322717, 0.177407, 0.109586, 0.072129, 0.073069, 0.170575, 0.165673
8064, 0.464619, 0.24385, 0.147594, 0.101632, 0.075037, 0.071864, 0.084707, 0.138231
8192, 1.089004, 0.591064, 0.275181, 0.151673, 0.25011, 0.231158, 0.241099, 0.226807
