n, v0, v1
16, 0.000021, 0.000016
32, 0.000014, 0.000014
48, 0.000011, 0.000011
64, 0.000013, 0.000014
80, 0.000014, 0.000014
96, 0.000018, 0.000017
112, 0.000020, 0.000019
128, 0.000042, 0.000023
144, 0.000023, 0.000026
160, 0.000038, 0.000030
176, 0.000030, 0.000033
192, 0.000066, 0.000038
208, 0.000058, 0.000043
224, 0.000041, 0.000048
240, 0.000045, 0.000056
256, 0.000171, 0.000060
272, 0.000056, 0.000067
288, 0.000100, 0.000073
304, 0.000079, 0.000107
320, 0.000177, 0.000088
336, 0.000081, 0.000094
352, 0.000176, 0.000128
368, 0.000113, 0.000114
384, 0.000344, 0.000121
400, 0.000112, 0.000134
416, 0.000244, 0.000168
432, 0.000130, 0.000158
448, 0.000326, 0.000309
464, 0.000181, 0.000184
480, 0.000328, 0.000193
496, 0.000273, 0.000204
512, 0.000933, 0.000230
528, 0.000308, 0.000250
544, 0.000412, 0.000253
560, 0.000366, 0.000263
576, 0.000614, 0.000282
592, 0.000367, 0.000284
608, 0.000646, 0.000327
624, 0.000533, 0.000318
640, 0.001132, 0.000332
656, 0.000444, 0.000505
672, 0.000653, 0.000378
688, 0.000489, 0.000399
704, 0.000921, 0.000400
720, 0.000531, 0.000414
736, 0.000753, 0.000440
752, 0.000603, 0.000468
768, 0.001742, 0.000486
784, 0.000653, 0.000499
800, 0.000901, 0.000552
816, 0.000693, 0.000545
832, 0.001366, 0.000568
848, 0.001073, 0.000588
864, 0.001279, 0.000629
880, 0.000931, 0.000687
896, 0.002287, 0.000666
912, 0.000960, 0.000706
928, 0.001669, 0.000746
944, 0.000941, 0.000779
960, 0.001907, 0.000764
976, 0.001048, 0.000785
992, 0.001416, 0.000835
1008, 0.001070, 0.000830
1024, 0.003400, 0.002068
1040, 0.001527, 0.001035
1056, 0.001704, 0.000979
1072, 0.001228, 0.000951
1088, 0.002588, 0.000995
1104, 0.001371, 0.001014
1120, 0.001852, 0.001046
1136, 0.001411, 0.001209
1152, 0.004191, 0.001134
1168, 0.001491, 0.001145
1184, 0.002149, 0.001175
1200, 0.001639, 0.001291
1216, 0.003582, 0.001273
1232, 0.001968, 0.001289
1248, 0.002408, 0.001374
1264, 0.002514, 0.001345
1280, 0.005127, 0.001873
1296, 0.002147, 0.001497
1312, 0.002949, 0.001459
1328, 0.002662, 0.001500
1344, 0.004336, 0.001950
1360, 0.002281, 0.001576
1376, 0.005196, 0.001866
1392, 0.003214, 0.001671
1408, 0.006488, 0.001943
1424, 0.003061, 0.002031
1440, 0.003787, 0.001916
1456, 0.003197, 0.001972
1472, 0.006031, 0.002001
1488, 0.003762, 0.001959
1504, 0.004760, 0.002023
1520, 0.004097, 0.002044
1536, 0.007741, 0.002972
1552, 0.005600, 0.002265
1568, 0.005946, 0.002363
1584, 0.005537, 0.002328
1600, 0.007109, 0.002503
1616, 0.006327, 0.002561
1632, 0.006893, 0.002522
1648, 0.007261, 0.002872
1664, 0.009470, 0.002902
1680, 0.009012, 0.002800
1696, 0.008678, 0.002884
1712, 0.008525, 0.002959
1728, 0.009089, 0.003444
1744, 0.009317, 0.003024
1760, 0.009215, 0.003097
1776, 0.010748, 0.003360
1792, 0.011984, 0.003702
1808, 0.010605, 0.003267
1824, 0.011683, 0.003922
1840, 0.012240, 0.003598
1856, 0.012169, 0.003658
1872, 0.012963, 0.004206
1888, 0.011855, 0.003651
1904, 0.013469, 0.003760
1920, 0.014245, 0.004564
1936, 0.013872, 0.004103
1952, 0.014422, 0.004044
1968, 0.014181, 0.004343
1984, 0.015406, 0.004289
2000, 0.013385, 0.004088
2016, 0.015905, 0.004779
2032, 0.015290, 0.004385
2048, 0.046747, 0.007278
2064, 0.015710, 0.004896
2080, 0.016770, 0.004679
2096, 0.014794, 0.004494
2112, 0.017515, 0.004911
2128, 0.016562, 0.004702
2144, 0.017983, 0.004999
2160, 0.018788, 0.004969
2176, 0.019646, 0.005762
2192, 0.018469, 0.005474
2208, 0.018821, 0.006038
2224, 0.019376, 0.005271
2240, 0.019280, 0.005461
2256, 0.019859, 0.005627
2272, 0.020348, 0.006001
2288, 0.021049, 0.005575
2304, 0.022518, 0.006734
2320, 0.020811, 0.005874
2336, 0.021958, 0.006211
2352, 0.021538, 0.006374
2368, 0.022813, 0.006421
2384, 0.022115, 0.006158
2400, 0.022945, 0.006901
2416, 0.022843, 0.006683
2432, 0.024806, 0.008674
2448, 0.022845, 0.007289
2464, 0.024375, 0.007119
2480, 0.024029, 0.007317
2496, 0.025020, 0.007592
2512, 0.025074, 0.007475
2528, 0.025773, 0.007067
2544, 0.025239, 0.008061
2560, 0.034889, 0.009205
2576, 0.026463, 0.007300
2592, 0.027231, 0.007423
2608, 0.027080, 0.007485
2624, 0.028097, 0.008613
2640, 0.027629, 0.007638
2656, 0.028676, 0.007834
2672, 0.028483, 0.008080
2688, 0.031573, 0.009188
2704, 0.029617, 0.009503
2720, 0.031080, 0.008310
2736, 0.031241, 0.008528
2752, 0.030542, 0.008522
2768, 0.030958, 0.008664
2784, 0.031913, 0.009654
2800, 0.031986, 0.008664
2816, 0.036106, 0.011083
2832, 0.032687, 0.009261
2848, 0.034363, 0.009379
2864, 0.033431, 0.009193
2880, 0.034674, 0.009654
2896, 0.034079, 0.009464
2912, 0.035639, 0.009939
2928, 0.035156, 0.009957
2944, 0.038707, 0.011304
2960, 0.035820, 0.009726
2976, 0.037496, 0.010019
2992, 0.037186, 0.010544
3008, 0.037501, 0.010828
3024, 0.037718, 0.010871
3040, 0.039405, 0.010400
3056, 0.038358, 0.011383
3072, 0.108191, 0.017482
3088, 0.039702, 0.010979
3104, 0.041677, 0.011359
3120, 0.040532, 0.010939
3136, 0.041342, 0.011435
3152, 0.041480, 0.011092
3168, 0.043041, 0.012114
3184, 0.042477, 0.011279
3200, 0.045313, 0.013439
3216, 0.044204, 0.013191
3232, 0.044968, 0.012322
3248, 0.044758, 0.011968
3264, 0.045274, 0.012844
3280, 0.045352, 0.012907
3296, 0.047575, 0.013303
3312, 0.046183, 0.012484
3328, 0.052329, 0.016364
3344, 0.047246, 0.012933
3360, 0.052025, 0.014005
3376, 0.048548, 0.013286
3392, 0.049903, 0.013462
3408, 0.049405, 0.013188
3424, 0.051468, 0.013635
3440, 0.050541, 0.013104
3456, 0.055174, 0.015552
3472, 0.052206, 0.014284
3488, 0.053547, 0.014194
3504, 0.053218, 0.014282
3520, 0.053729, 0.015047
3536, 0.054372, 0.014767
3552, 0.055477, 0.015613
3568, 0.054973, 0.014959
3584, 0.093480, 0.020456
3600, 0.056725, 0.014696
3616, 0.058616, 0.015218
3632, 0.058472, 0.015676
3648, 0.058035, 0.015881
3664, 0.058628, 0.015399
3680, 0.061310, 0.016127
3696, 0.060113, 0.015947
3712, 0.063716, 0.018478
3728, 0.061372, 0.016614
3744, 0.062952, 0.016431
3760, 0.062042, 0.015976
3776, 0.062684, 0.016714
3792, 0.064054, 0.016378
3808, 0.065428, 0.016957
3824, 0.064651, 0.016746
3840, 0.067210, 0.021325
3856, 0.066196, 0.017352
3872, 0.068876, 0.018233
3888, 0.068146, 0.017379
3904, 0.067451, 0.018029
3920, 0.069307, 0.017683
3936, 0.071513, 0.018432
3952, 0.071363, 0.019172
3968, 0.073570, 0.021890
3984, 0.071965, 0.018468
4000, 0.073347, 0.019147
4016, 0.072846, 0.018692
4032, 0.073452, 0.020397
4048, 0.074842, 0.019484
4064, 0.076281, 0.019685
4080, 0.075851, 0.020658
4096, 0.224740, 0.032218
4112, 0.079593, 0.020219
4128, 0.077699, 0.021152
4144, 0.078468, 0.020862
4160, 0.078426, 0.020746
4176, 0.080815, 0.020000
4192, 0.082564, 0.020932
4208, 0.080977, 0.020591
4224, 0.087145, 0.025343
4240, 0.083432, 0.021438
4256, 0.085190, 0.022094
4272, 0.084326, 0.021660
4288, 0.084740, 0.022195
4304, 0.086357, 0.021053
4320, 0.088461, 0.022319
4336, 0.087542, 0.021873
4352, 0.101674, 0.028909
4368, 0.088791, 0.022783
4384, 0.091637, 0.022843
4400, 0.090752, 0.022623
4416, 0.090103, 0.023154
4432, 0.092278, 0.022977
4448, 0.094284, 0.023584
