n, v0
8, 1.1199999999999998e-05
16, 1.045e-05
24, 1.1e-05
32, 1.2049999999999998e-05
40, 1.2349999999999997e-05
48, 1.1899999999999996e-05
56, 1.2949999999999998e-05
64, 1.3649999999999998e-05
72, 1.4049999999999998e-05
80, 1.605e-05
88, 1.6e-05
96, 1.72e-05
104, 1.945e-05
112, 2.035e-05
120, 2.1900000000000007e-05
128, 4.4e-05
136, 2.49e-05
144, 2.6550000000000005e-05
152, 2.86e-05
160, 2.9549999999999993e-05
168, 3.32e-05
176, 3.254999999999999e-05
184, 3.765000000000001e-05
192, 6.524999999999999e-05
200, 4.060000000000002e-05
208, 4.0650000000000006e-05
216, 4.610000000000001e-05
224, 4.595000000000001e-05
232, 5.865e-05
240, 5.3849999999999994e-05
248, 5.809999999999999e-05
